title,size,color,rating,review_text
Order half size up even if other Sorels fit in your usual size,8.5,"Omega Taupe, Black",4.0,"I was annoyed with myself for not listening to the other reviews. I wear a size 8 in every shoe brand, including Sorel (I own 3 other pairs of Sorels) so I was sure the other reviewers were wrong when they said to size up. They were right. Size 8 fit, but when walking, my big toe was jammed up into the front of the boot. I could probably make it work, but very uncomfortably, so I just re-ordered an 8.5 which I think will be perfect. This will be the only size 8.5 shoe I own, so listen to the other reviewers and order 1/2 size up."
Only lasted one season 😢,10,"Camel Brown, Black",1.0,I loved these boots until they split open (see pic). They were comfortable and water proof. But I took them out to wear again this fall and they are split. Super disappointed since I spent $200 at REI to get them. Save your money and get something that will last longer than 1 winter.
Scammed,NA,NA,1.0,"I spent way too much money on sorel boots to have them split wide open.
I was cheated and scammed for my money"
Love them but cause stinky feet,NA,NA,2.0,"I love these, but they make me feet smell. I have tried several different types of socks, and same result. I have the black and wool ones, and those are fine. Not sure what’s up with them, but they look cute."
Sole became unglued after just a few dozen wearings,7.5,"Black, Grill",2.0,Otherwise I loved these little boots. Ran true to size.
Very uncomfortable,10.5,"Black, Sea Salt",1.0,I liked the style but they were extremely uncomfortable and no support or all. Make sure to get half size larger my toes touched the top of boot.
Nice,11,"White, Cyber Yellow",3.0,Just hurt my bunion . So it had to go!!
"Returned, but ordered a dofferemt size!",10,"Dove, Sea Sprite",5.0,"I ordered the wrong size! So often my feet are a liittle too big for the size I think I should order, but these are not. I have reordered the next 1/2 size smaller, can't wait for them to get here. They seem very well made, and exactly what I want. I have a pair of Sorels for heavy duty walking in snow, etc, these wil give me a nice option when there isn't quite so much snow."
These are so cute!,9,"Taffy, Black",5.0,"Play Video
 I live in New England, boots are required if you spend any time out side. You can tell yourself you don't need another pair or you just ask yourself do I have a cute functional pair? These are great out and about boots, no I would not wear these to shovel or expect them to be the warmest pair I own, but perfect for keeping my feet dry and not weighing 25 pounds a piece."
Nice boots,10,"Camel Brown, Black",5.0,"These are really well made boots, but a little “short”. Size 10 normally gives me plenty of room, but while these have a nice wide toe box, my toes touch the front of the boot."
So many compliments!,8,"Camel Brown, Black",5.0,"The name Out 'N About suits this boot perfectly!

I received so many compliments on these on a recent trip to Colorado.

I just ordered a pair of high top Sorel sneakers. I can't wait to get them!

I did give the support 4 stars BUT not because of the shoe. I have planters fasciitis so my so for me to give something a 5 in that area is almost impossible."
Best bid boots ever,8,"Omega Taupe, Black",5.0,"I LOVE these.

They are very waterproof. Could use some insole support if you have high arches and walk a lot. Not for mud or heavy hiking but they're perfect for grocery shopping and running errands in the winter. I wore them 5 days straight in mud and rain and after wiping them down they still look new. They go well with jeans and leggings. My favorite boots for winter casual"
"Awesome boots, runs large",8.5,"Taffy, Black",5.0,"Love these boots, they run large, eve. With heavy socks so I ordered an 8.5, my true shoe size, and there is plenty of room for thick socks. Very comfy, sturdy, water proof"
Not as narrow as other styles,9.5,"Camel Brown, Black",5.0,I really like this lower boot! It’s comfortable and it is a little bit wider of a style than other Sorel boots. Plus it’s really cute
Comfortable and sturdy,11,"Camel Brown, Black",5.0,These boots look great! They keep your feet warm! They are comfortable and sturdy enough to hike 6 miles up a mountain in. Love the looks and received so many compliments
Love sorels,8.5,"Omega Taupe, Black",5.0,Love these boots.. ordered a half size up for thick socks... These aren't lined so if you live in the tundra you will need some thick socks... That being said... Little tight around the ankle but toes have plenty of room and they will stretch out a little ... I love them... My plantar fasciitis isnt bothering me at all... Because there aren't anyy inserts in them either.... I tried some from my hey dude's shoes.... And they actually hurt... I know .. makes no sense at all .. but that's my story and I'm sticking to it .. good luck and get outside!!
Don’t delay!!,8,"Camel Brown, Black",5.0,"If you’re thinking of buying these shoes, don’t delay! Just do it. They are the most perfect casual/winter boot to have for the fall. Comfortable. Can wear with think or thin sock. I wear a size 8 and bought an 8. I do not have a wide or narrow foot, so the fit is perfect for me. They were expensive, which is why I hesitated, but now that I have them, I love them!! Worth the buy and great quality boot. Great with jeans, leggings, shorts and causal rompers."
"Cute and water proof, not warm.",9.5,"Camel Brown, Black",5.0,These boots are super cute and keep my feet dry which is what I was aiming for. They are absolutely not warm for the toes. Not much insulation in the toe area. I sized up a half size which I was glad I did. They didn’t feel all that comfortable when I first put them on but have since gotten more comfortable. I like them but they are not a winter boot.
Solution for the tongue,8.5,"Camel Brown, Black",5.0,I have skinny ankles. There was pressure on the front of my ankle as I’m walking. Tying the laces behind the tongue allows for me to get a tight fit around my ankle and eliminated any pressure any where on my ankles. I’ve not worn them out yet but the color scheme is so me and will go with anything! They are comfortable just walking around the house and on the treadmill to try them out longer before deciding on them. I’m very excited to have figured this out so I can keep them. I’m an 8.5 in most shoes and the last sorels I bought were that size. They fit perfect.
Guys… order a pair for your SO ASAP,9,"Camel Brown, Black",5.0,These are better than any other girls boot in the market. Skip the Ugg’s or Sperry’s and try these first. Ever since I bought these my wife loves me more
Order half size up,9,"Black, Grill",5.0,"Perfect dogwalking shoes for muddy parks in the rainy months. Returned the size 9 shoes I usually wear, but the 9.5 were a great fit. Consider ordering half a size up."
Comfy,7,"Dove, Sea Sprite",5.0,Love these. Looks good and fits well. Love them.
Oh yes!,NA,NA,5.0,"I opted for these boots - who can go wrong with Sorel? - after another pair of Columbia boots were just to warm. These are good looking as well as comfortable. I may use pedi socks inside or perhaps without socks all together. I have big feet - women's 11.5-12 and often feel like I'm lugging boats on my feet...nothing graceful about it. Yet these boots make me feel graceful and they even walk well, like a shoe, not a boot. So happy I found them. I got the grey wool which offers a nice clean up look. They are a bit pricey but arrived when promised so I'm ready for winter!"
Amazingly comfortable,9.5,"Camel Brown, Black",5.0,"I am a athletic shoe wearing girl. That’s pretty much all I wear. I needed a good waterproof shoe that I could wear with regular jeans and skinny jeans. When the weather is wet here in western Oregon, I hate having my toes soaking wet through my shoes. I bought these and actually had to buy 3 pairs to get the right size. I own a pair of Sorel caribou boots and they are 9s so I went with that but they were too small. I ended up with a size 10 after a couple returns. These are the most comfortable shoes, they fit perfectly with my insoles as well!"
Excellent boot,8,"Taffy, Black",5.0,Love everything about these boots. Although I typically wear a 7.5 and had to return and size up to an 8 with these so they may run a tad small
I love them,6.5,"Camel Brown, Black",5.0,"I don’t normally spend a lot of money on shoes but this was worth every penny! They are the perfect casual boot for fall/winter. They keep my feet warm and dry. They go with so many outfits!
I don’t tie them tight because it does do something weird to the tongue and can be a little uncomfortable, but even with them tied loosely they don’t slip off when I walk.
I loved them so much I just bought some dressy sneakers from the same brand and I love them too."
I had to add a insole but I love them,7.5,"Camel Brown, Black",5.0,I have gotten so many compliments on these when I wear them they fit good except I did add a softer insole I wear a 7 I ordered a 71/2
"Good Quality, go half size up",8.5,"Black, Grill",5.0,"Love these boots, really sharp looking. They keep your feet dry and so far, have given good traction in the slush and snow.
I read that Sorel tends to run small, so I ordered a full size up, anticipating wearing wool socks with these boots. They are a bit big, but fine for what I need. I would only go up a half size, if at all.
Ideally, I wanted to wear these boots with leggings and wool socks. The boots are a little shorter than I expected so the wool socks come up a little higher then I'd like. I thought they would lace up higher on my leg as well, but are easy to slide on and off since they don't."
Size up a whole size,10,"Camel Brown, Black",5.0,"These are definitely my favorite boots! I was really frustrated with how many times I had to order them to get the right size though. How is it possible that I wear a 9 in ALL other brands and types of shoes/boots, but these I had to size up a whole size?? Other than the pain in the neck of sending back the size 9 and the size 9.5, to finally get the size 10, these are great boots. Highly recommend getting them, just wish Sorel could get the sizes right. Size up!"
Love these,7.5,"Camel Brown, Black",5.0,I love these and wear them all the time. It so nice to have something waterproof that can be worn for so many reasons
How can you say anything bad??!!!,9,"Taffy, Black",5.0,"They are an athleisure bootie. They aren’t meant to go skiiing or romping through the snow but are my everyday bootie to work and school, so cute and comfy!! I’d say as water resistant as a shoe maybe a tad more. SO CUTE, I get compliments all the time. It snowed today in Wisconsin, yes Oct. 14th and these made it a little better. ;)"
Not real sorel boots,8,"Camel Brown, Black",5.0,I bought these sept 24th 2022 and wore them about 10 times and the toe is already busted opened. I work with kids so I'm not doing a lot in these boots and I've never ever ever ever have had this problem with sorel boots I've bought from a department store. But these that I bought online are NOT durable. DO NOT BUY
Great quality and comfort,7.5,"Black, Sea Salt",5.0,"Bought these for my wife, she loves them, very comfy, stylish and waterproof. She likes to wear thick socks so I bought half size larger than the size she normally wears which worked well for her"
Super cute!,10.5,"Camel Brown, Black",5.0,"Super cute Sorel boots!! They could use a little more cushion I think. Feet ache a bit after wearing and being on my feet all day in them, but style over comfort - am I right? ;). The s in the bottom on the inside of one of them has wore off already and it’s been about 2 1/2 months of having them, but I’ve worn them pretty steady and like I said, am on my feet all day when wearing them. Super cute boots!"
LOVE THESE BOOTS,NA,NA,5.0,"I love everything about these boots! Color (creamy white) is very nice. I wear a 7 1/2 to an 8, and I have a wide foot at the front. Bought an 8 and they are the perfect fit. Very comfortable!!!! Almost makes me excited for the snow."
Super Cute runs small,8.5,"Taffy, Black",5.0,Really cute and comfortable. They do run small. I usually wear an 8 in boots and 39 EU are usually way roomy enough. I got an 8 1/2 in these and they are snug and toes touch the front
I'm in love,7.5,"White, Cyber Yellow",5.0,New favorite boots! They fit very well (sometimes sorel is too big or small depending on style but not these).
Super comfortable and keeps feet warm,NA,NA,5.0,"Absolutely love these boots. Love that they keep my feet warm and dry. They do run a little big but will be nice to wear thick socks with. Easy to get on, keeps my feet dry and warm! Great quality and fashionable boot!"
Better than I even expected!,8,"Camel Brown, Black",5.0,These are warm but not heavy. The arch support is fantastic. I absolutely love these!! Living in the upper Midwest I need daily winter boots that aren’t bulky. These are great!
Comfort and size,10,"White, Cyber Yellow",5.0,I usually were a 9.5 and ordered a 10. Fits just right but will hav me no room for a sock. Returning and ordering a 10.5. Order a full size up if you will wear a thin to thick sock. Other than that they are comfortable and stylish.
Love,7,"Taffy, Black",5.0,These are so cute and I get so many compliments on them. Also very comfortable.
Loooove,8.5,"Camel Brown, Black",5.0,"I finally made the splurge and for myself a pair just so my feet won’t freeze wearing slip on shoes. I wear a size 8.5 and they fit perfect after being broken in. We haven’t had a lot of snow to fully test them out, but I’m sure they’ll do great."
I love these boots. They are flattering on and so warm and comfortable!,8.5,"Omega Taupe, Black",5.0,Love these boots. They are flattering on and very warm and comfortable. I bought 1/2 size bigger and it's perfect.
Order 1/2 size up if you plan to wear thick socks!,8,"Camel Brown, Black",5.0,Fantastic pair of shoes! I ordered 1/2 size up because I planned to wear thick socks and that was fine. I could probably gone up 1 whole size and been fine as well.
Must have!,8.5,"Camel Brown, Black",5.0,I purchased these a half size bigger so I could slide them on and off at work as I have to go out into the elements often but work in an office environment
Warm and Cozy in Montana Snow,10,"Camel Brown, Black",5.0,"These boots are the cutest! I've worn them with dress pants and jeans. As a realtor, I slog through some cold, wet conditions in Montana. These boots are cute and comfy. My thicker Sorel boots are better for longer times in the snow, but these are great for everyday."
Everyday winter boot,8.5,"Camel Brown, Black",5.0,"Love these boots! My daughter had some that she loves also. I have inserts from the good feet store and had to buy boots for the winter, so I bought a size up. With the foam pads and the inserts, my feet now feel great and supported, and also waterproof! Love them"
Cute and functional!,NA,NA,5.0,"I know they are not extremely warm, but they are definitely waterproof. Went thru thick wet snow this morning and my feet stayed dry! Even after walking thru about 4 inches of slush today also!"
FAV BOOTS ever,7,"Camel Brown, Black",5.0,I love Sorel and this is by far my most FAV pair ever! They go with so much and are just perfect. I ordered a half size up :-)
Comfort & Warmth all around NYC in January,6,"Camel Brown, Black",5.0,"Added an insert. Wore for a week long visit to NYC in January. Warm, dry, comfortable for hours of walking each day. Does not provide ankle support."
My New Favorite Brand,NA,NA,5.0,Although Sorels are a little bit pricey I have to say I will definitely look forward to starting a collection of them. This has been the absolutely most comfortable boot/ shoe i have worn in a very long time. The durability and water resistant is perfect for my everyday use when walking/ running my Rotti in all types of weather conditions. This shoe has the feel of a very supportive sneaker. Excellent quality and style. The unique back is eye catching as well. Enjoy!
Perfect for cold weather,8.5,"Taffy, Black",5.0,"Excellent boots. Very comfortable to walk around in during the winter. They keep the slush, snow and cold out without over heating your feet. Love these! Would get them in every color"
YES YES 🙌🏼,8,"Camel Brown, Black",5.0,Get you some now! True to size and STUPID CUTE! I have gotten so many compliments on these shoes.
Winner,6.5,"Omega Taupe, Black",5.0,Sorels always a good choice. Comfortable.
Good fit,9,"Black, Sea Salt",5.0,Good fit
Sorel ankle boot - non-skid sole - LOVE these!!,NA,NA,5.0,"Saw a friend with this boot and fell in love!! How did I live without it in WI?
Style - comfort - function.
Note - I wear thick socks in WI - order up 1/2 size."
Sorel is worth the HIPE!,7,"Omega Taupe, Black",5.0,"Super cute, comfy, and great for cold, wet weather."
Really nice and comfortable boots,8,"Camel Brown, Black",5.0,"These boots are waterproof, durable, comfortable, stylish and more I wore these in Washington on a very rainy day and they kept my feet nice and toasty. They are perfect for hiking or walking and comfort. I totally recommend."
"Stylish, true to size just gotta break them in",9,"Taffy, Black",5.0,"I have a size 9 foot and prefer “wide” when that is an option. I read many reviews saying runs small, so i was going to order the 9.5, however, was turned off that a half size up was like $50 more. After wearing these boots with regular socks, they become more and more comfortable! So happy i went with the 9s. I get compliments every time i wear them, and they add a little height to my short stature!"
Tal y como me lo esperaba,9,"Camel Brown, Black",5.0,Excelente calidad
Comfortable,10,"Camel Brown, Black",5.0,The boots are very comfortable!
The most amazing foot wear ever!,9,"Camel Brown, Black",5.0,"Light as a feather , ankle support and dirt resistant. My favorite kicks ever"
Boots,7,"Omega Taupe, Black",5.0,"Like everything about them. Looks, comfort, usage, and price."
These are great,10,"Camel Brown, Black",5.0,"I love these boots!! They are so cute and comfortable. Best of all, they slip on and off and are light weight!!"
Love these.,9,"Camel Brown, Black",5.0,"When I tried these on with the cool socks, I thought they were way too small. I then tried them on with regular cotton socks and they fit perfect. Although they’re waterproof, they do not cause sweaty feet, which was surprising."
I love these boots. Excellent quality.,7,"Dove, Sea Sprite",5.0,Very cute and the quality is excellent! They are also surprisingly comfortable!
Exactly as expected.,9,"Camel Brown, Black",5.0,No problems exactly as expected
Exactly Right,8,"Taffy, Black",5.0,"I am super happy with this product, everything was as I expected. The only comfort issue is just breaking them in. Other than that super happy with my purchase."
Love these!!,10,"Taffy, Black",5.0,So cute
Good quality product,8,"Camel Brown, Black",5.0,So cute and good quality
so cute!!,5.5,"Camel Brown, Black",5.0,"I am absolutely obsessed with these boots. I love them and wear them to walk the dogs and run errands. I don’t feel like they are fully weather proof though. I’ve had them less than 2 months with normal light wear and the rubber on the toe is already coming apart too. I wanted to exchange them but were out of my size. Really disappointed they aren’t better quality, I expected them to last years and years but they definitely won’t. Still cute though."
Love my shoes!!!!!!,8,"Omega Taupe, Black",5.0,They are so comfortable!!!! I get so many compliments too!
Stylish,9.5,"Omega Taupe, Black",5.0,Super cute
Comfortable,7.5,"Taffy, Black",5.0,Sorel are the best boots! No break in time at all. You can put these boots on right out of the box. They are so cute!
Wonderful,9.5,"Taffy, Black",5.0,"I wanted these for my daily walks with my dog, for the New England winter weather..they are perfect and very comfy like a sneaker"
Perfect boots,8,"Taffy, Black",5.0,These boots are not only comfortable and stylish but more importantly they keep my feet warm!
Great quality,10,"Taffy, Black",5.0,Didn't appreciate having a 32.00 restocking fee plus 15.00 more for a larger size
Daughter in law loves them,9,"Taffy, Black",5.0,"Good comfort, warm and water proof . Support is ok , could be better."
Very Cute!,7,"Camel Brown, Black",4.0,Super cute. Easy to wear. Comfortable and true to size.
Super cute & light weight,9,"Camel Brown, Black",4.0,"Order 1/2 size up due to previous reviews, but the normal size would have fit fine. I had to add sole inserts to make up for the looseness even with boot socks the extra 1/2 size was too much. Overall, I like a little room in my shoes so I will definitely be keeping them. Only complaint is the tongue is stiff & sort pokes the top of my foot where the tongue is sewn in. I have to position it or don’t tie the laces real tight. I have worn them all day on multiple occasions without issues."
Stiff But Cute,12,"Omega Taupe, Black",4.0,"Very stiff no arch support, but cute and I got inserts. Runs a size small, as sorels usually do. Not as tennis shoe like as they look, more like duck boots."
very good produce,9,"Camel Brown, Black",4.0,very good product
Fashion not warmth,7,"Camel Brown, Black",4.0,"These boots are super cute and I get a ton of compliments every time I wear them. They’re perfect for running errands and look stylish. However, they are not ideal for warmth especially if you live in the north or actual cold temperature regions. I would buy them again as they are great when you are moving around or just want dry feet. Not warm enough for a cold ice rink or cold temperatures."
Stylish and comfortable for med-wide feet,9.5,"Camel Brown, Black",4.0,"I love these boots. They're really cute and comfortable. I would say if you're considering buying them, to purchase a size up. I normally wear a 9.5, but had to reorder a 10. I'd also add that these are a good boot for folks with medium to wide feet. I've got narrow feet and have to double up on socks."
Not quite enough insulation for Minnesota winter!,7,"Taffy, Black",4.0,Little too stiff and needs more insulation.
These run about a half size small,11,"Taffy, Black",4.0,These are a good boot not the most comfortable shoe but these run a bit small. I'm an 11 and these feel more like a 10.5. Mine were used when I ordered them new. They were a return and it was obvious when I opened the box right away. Tags were off and soles were not clean ect. So not a great shoe for long walks but they look nice and keep your feet dry!
Near perfect…,8,"Camel Brown, Black",4.0,"I love the style, color, comfort, small elevation from the heel and durability/water resistance. Near perfect with a few suggested adjustments: I hate the visible seam on the tongue… it doesn’t sit under the laces and I actually wish there were no laces, but instead elastic bands to provide for quick pull on and off. Still those are minor and these are still my fave cold/wet weather shoes."
Boots are stylish,7.5,"Black, Grill",4.0,"These are good boots to keep your feet dry and warm.
If you want to wear thicker socks - size up - they are a bit snug in the toe area. Not great arch support - I had to add an arch support insert- careful not to intrude on toe area tho - arch support was only in arch area. Not as big and bulky as other warm boots which is why I liked them."
New favorite boots until they broke,NA,NA,4.0,"I have always loved the look and quality of Sorel. My other 5 pairs have lasted years. This pair was great, able to wear casually and for walks/hikes. Unfortunately after mild wear for 3 weeks the strap that holds the top lace broke off. So disappointed. I don’t feel like I should have to pay to repair a basically new boot but now they are back ordered."
Great looking shoe with zero support,9.5,"Omega Taupe, Black",4.0,"I loved the look of these boots. Easy on and off. Perfect for snowy/rainy springs and fall weather. My only complaint is they have zero support and if on m feet for long period, shopping, etc. my feet and legs ache."
Cute and waterproof,6.5,"Black, Sea Salt",4.0,Looked forward to receiving these .. wore them right away for a couple of weeks — toes started to hurt.. they are too small. Order a 1/2 to full size up.. also there is no provision/cushion for the foot pad area in front.. your foot can feel the ground .. I would buy again but not without right insert and definitely a size larger .
"Well made, but runs small...",7.5,"Black, Grill",4.0,"Great shoe. Very well made. Ordered my usual size, 7.5. But... they were too tight. My toe was right up against the toe box. Width was fine. I have ordered an 8 and hope they will be a perfect fit."
Very comfortable boots.,9,"Taffy, Black",4.0,Very comfortable boots and water resistant. However I do wish Sorrel would have made the toe box larger. It would have added comfort and a better look to the boot. Overall I am happy with my purchase!
Scratches,9,"Taffy, Black",4.0,"The boots came with a couple of scratches on them but otherwise they were fine. I wear between an 8 1/2 and a 9, and am glad I bought the size 9."
Not completely water resistant go up a half size,7,"Camel Brown, Black",4.0,I love sorel boots and sneakers. These are terrific but they do leak a little with a lot of water and I had to go up a half size
Wish they laced better,9.5,"Black, Sea Salt",4.0,"They look great and the size is as expected, but because the material around the ankle is so thick the laces don't allow them to actually fit tightly around the ankle so the foot slides around inside, feels like there's not enough room for my toes when I'm walking."
Great look and quality!,9.5,"Black, Grill",4.0,"I only gave it 4 stars because it hasn't snowed here yet. But from what I know of Sorrel, I'm sure they will be fine. They are very comfortable."
Cute but not comfortable,12,"Black, Grill",4.0,"These boots are super cute, and true to size. However, they are not very comfortable and I will probably not wear them very much due to that reason."
Super cute but size is up,9,"Black, Sea Salt",4.0,Love these casual boots but they seem to run a little small. I am a solid 9 in most brands (including other SOREL boots) and my toe hit the front of these. Sizing is definitely a bit off. I returned and ordered a half size larger - hoping that works!
Runs small,7,"Black, Sea Salt",4.0,These shoes are very nice looking. They are super lightweight and comfortable. I’m glad I read the reviews because these shoes run VERY small. I’m a 6 in sneakers and 6.5 in boots. I’ve bought these in a size 7 and they’re just big enough.
"Good looking shoe,",8.5,"Camel Brown, Black",4.0,", not for someone who has foot issues - no support in the soles."
Expensive but nice boot,7,"Camel Brown, Black",4.0,Don’t go in to deep of water
So comfortable!,8,"Camel Brown, Black",4.0,Purchased as a Christmas gift to use during holidays. Will update when I know more.
A little tight in the forefoot.,9,"Camel Brown, Black",4.0,They are tight in the forefoot but will probably be okay in successive wearing.
I have another pair also,NA,NA,4.0,I like the new colors. Always have a pair or two in my closet
Love them!!,7,"Camel Brown, Black",4.0,I love these boots!
Comfortable,8.5,"Camel Brown, Black",4.0,Comfortable and true to size.
"Nice quality, a bit bulky",8.5,"Black, Sea Salt",4.0,"Fast ship, nice quality, a bit heavy and bulky"
Great for rain + snow,9,"Camel Brown, Black",4.0,"Super cute booties for rain + snow! They’re comfy, waterproof, lightweight, + warm. I’m normally a 5.5 or 6, but I would recommend going a half size up if you would be wearing thick socks with these."
Weirdly a lot smaller than my other Sorels,10,"Camel Brown, Black",4.0,"I was so excited to get these (they are soooo cute), but they are weirdly a lot smaller than my other Sorels that are the same size (both size 9, pictured). I reordered the next size up (9.5) and am hoping they work because they seem great other than that!
UPDATE: The 9.5s came in and they fit! So, I recommend sizing up a half size."
Cute! But not really a cold weather/winter boot,NA,NA,4.0,"Cute boot! I ordered a 7 which is my usual size. I probably should have gone up 1/2 size up for two reasons: (1) I have one foot that is slightly bigger than the other. The first several wears, my big toe was hitting the top of the boot. Now that its a bit more broken it, I don't notice so much. (2) Thicker socks. These boots are not all that warm. In temps below freezing, I can feel my toes getting cold even with what should be warm enough socks. If you're looking for a winter boot/shoe, this may not be it. But if you're looking for a light weight, waterproof, can-get-dirty, type of boot - this is the one."
Needs more cushioning,NA,NA,4.0,"Saw the good reviews so decided to order for an Ohio winter. Overall this is a good boot but runs slightly small. The tongue doesn’t lay flat and there is barely any cushioning in the sole. I wouldn’t want to walk far in these, but they are ok for running errands. On a positive note they are very warm."
"Cute, comfortable, but won't keep your feet warm .",9,"Camel Brown, Black",4.0,"I love how these boots look and they are comfortable but with in a minute of being out in the snow my feet were freezing. So, if your looking for boots that will keep your feet warm, I would say these are not what you should get."
ORDER ONE SIZE UP!!!,10.5,"Camel Brown, Black",4.0,"I wear a 10...I went to DSW to try them on, but they only had an 11, which I tried on (with ""regular"" socks) and thought they were too big...So, I ordered a 10.5 from Amazon.

Once, I tried them on with winter socks , they were even to small...My toe was right at the tip of the shoe!!!

Going up and half size, didn't work for me...GO UP ONE WHOLE SIZE!!!

Exchanging for the 11 because they were super cute on!!! ENJOY!!!

EDIT!!! The 11 is right!!! Aye!!!"
"runs a tad small, especially with thick socks",7,"Camel Brown, Black",4.0,"love it, just returning for a half size bigger"
Size-Up,9,"Camel Brown, Black",4.0,Super cute shoes! Not much foot padding and no arch support but still comfortable. Purchased a 1/2 size larger than I normally wear and they fit perfectly.
Nice boot - size up,NA,NA,4.0,"I really liked the boot. I tried on my normal shoe size and 1 size bigger. I definitely needed to go with the larger size. One thing to note, there is NO arch support in this boot. if you are planning to wear for a prolonged period of time i recommend getting a sole insert with arch support. Other than that the boot is very cute. I got the grey with tan leather accents and they are really cute. I did not feel like the boots were overly heavy."
Great Shoe - Runs Small,7.5,"Camel Brown, Black",4.0,"Love these boots. Definitely not the comfiest show ever, especially if you are in the mountains but for sure a durable boot. If you plan to wear warm socks with them I would size up."
NA,8,"Camel Brown, Black",4.0,"While these boots will probably not be warm for long this winter, I kept them anyway, because they are adorable. I have a size 8 foot and sometimes I feel like boots make my feet look huge. These ones do not. I won’t be able to wear very thick socks with them as they are on the smaller side for the size."
NA,9,"Omega Taupe, Black",4.0,"These will be nice and warm for the winter, but not much support. I do a lot of walking in the winter so I will need to purchase some insoles. Kinda surprising considering the price of these boots."
NA,9,"Taffy, Black",4.0,Love them I’m hoping to wear them in and they stretch a little.
NA,9,"Camel Brown, Black",4.0,"I got the grey, brown and black shoes and they fit normally. I wear 8.5, but so many people mentioned they were small so I got a 9. 9 is big on me, 8.5 would have been perfect. Oh well.

Pros: I've ended up keeping the size 9 because the 8.5 is more than $300 for some reason.
But they are lightweight and comfy. I walked around in them for a few hours inside and outside (2 degrees celsius), and my feet were dry and warm the entire time.
They are really cute and different looking.

Cons: you can't tighten the laces to fit your foot size, the tongue just wrinkles up, as it is sewn into place. You can only tighten the top loop so they at least stay on your feet."
NA,9,"Camel Brown, Black",4.0,"I usually wear an 8.5/9 so I ordered the 9 based on other reviews to size up. My toes still touched the end on my larger foot and I actually found them to feel a bit like a Kleenex box on my foot at first, but as I have worn them they have stretched out a bit and formed to my feet and are super comfy! Breaking in nicely with no blisters or sore spots yet. They’re warm, although only tested in fall Alberta weather - hopefully they’re still warm in winter. So overall, I’m pleased with my first online shoe purchase!"
NA,8,"Taffy, Black",4.0,A great boot for work. Comfortable enough to get through a work day and my feet don't over heat. The grips are a little sucky so not great for icy weather. There is a slight improper sewing job on one of the tongues that bothered me in the beginning.
NA,8,"Black, Grill",4.0,"Fit is good - I usually have problems with bunion on one foot so it’s good that it is deep and wide enough in front.
It is not as well insulated as expected but I’ve had no problems with being out for an hour or more with temperatures around 0C."
NA,10,"Omega Taupe, Black",4.0,"J’aime beaucoup le look, j’aurais aimé que les lacets soient élastiques, on ne pouvait pas voir sur la photo que c’étaient des lacets conventionnels… j’ai bien peur qu’elle ne soient pas assez chaudes pour des températures canadiennes en hiver!"
NA,8,"Black, Grill",4.0,Perfect shoe for fall but very small sizing.
Just ok boots.,8.5,"Camel Brown, Black",3.0,"Love the boot. But have to give 3 stars. The rubber came detached from the boot in a few places after wearing them only few times. Not on only one boot, but both boots. I wasn't too happy after what I payed for them."
"In the end, good boots",NA,NA,3.0,"Originally bought a pair, but after 2 months they began leaking, which these boots are NOT supposed to do. I contacted sorel customer service but because I purchased on Amazon they couldn't help me. I expressed my disappointment with their product regardless of retailer. Anyway, I returned the first set and bought another set, and it's been 4 months of wear and they're fine. My only other complaint is that the white sole does not clean easily. Otherwise love these. Next time, I will purchase directly from sorel, not Amazon."
Sorel hit the mark with looks but uncomfortable,9.5,"Omega Taupe, Black",3.0,"Normal size 9.5… could’ve got a 10
Good looking boots but the insole is not worth the price tag. Going to buy inserts. I do not have foot issues, so it’s the boots!!!"
Great boots,8.5,"Omega Taupe, Black",3.0,"I love these boots, they are so comfy and stylish. The only issue is that the rubber sole is coming away from the shoe. The return window is closed so I have to live with it or glue it back. Not what I would expect from Sorel."
This product runs small in length. Size up! The tongue doesn't lay down smooth on sides.,7,"Omega Taupe, Black",3.0,This product runs small be sure to size up! The tongue also doesn't lay flat on each side may be uncomfortable while wearing. Will be returning
Shoes,9,"Taffy, Black",3.0,Have only worn these a few times and the cream part of the sole of the shoe is coming detached. Still really like the shoe but feel like my foot might get wet if it is wet outside.... disappointing
Fit,9.5,"Black, Grill",3.0,Although I have several other pairs of Sorel boots all in size 9.5. I was VERY disappointed when these FINALLY came as they run small and didn't fit.
Very narrow,8,"Omega Taupe, Black",3.0,They were cute but very narrow in the toes. Had to return.
Worn out after 1 year,NA,NA,3.0,I love the style and fit. I wore them for the spring and winter season in MN and after a year they started splitting at the seams in the front. The bottom also wore through and I can’t wear them any longer. Really bummed the quality isn’t what I expected from sorel.
Love these boots!,10,"Omega Taupe, Black",3.0,"Love these, comfy & perfect for everyday winter weather. Will buy again!"
Cute but not as expected,9.5,"Fawn, Sea Salt",3.0,These are definitely cute but not the quality I would expect from sorel. The boot insert doesn’t give you much support or cushion at all. I will probably be getting new inserts. Also the upper part of the boot is thin without any padding to make them a cozy winter boot. I’m a bit disappointed for the price point that sorel didn’t make these boots a little better quality. I usually wear a 9 but sized up to a 9.5. Sorel usually runs a bit small.
Tongue is screwed up,9.5,"Omega Taupe, Black",3.0,I think for 130 dollars the workmanship could be better. The tongues don’t lie flat no matter what I do. Other than that I do like them.
